"ID","ORD","AAO_ID","DEPT_ID","PORTFOLIO_ID"
"610","17","92","17","1"
"611","0","93","54",
"612","1","93","2",
"613","2","93","52",
"614","3","93","4",
"615","4","93","50",
"616","5","93","42",
"617","6","93","55",
"618","7","93","44",
"619","8","93","10",
"620","9","93","45",
"621","10","93","18","4"
"622","11","93","46",
"623","12","93","53",
"624","13","93","48",
"625","14","93","14",
"626","15","93","49",
"627","16","93","16",
"628","17","93","17","1"
"629","0","94","54",
"630","1","94","2",
"631","2","94","52",
"632","3","94","4",
"633","4","94","50",
"634","5","94","42",
"635","6","94","55",
"636","7","94","44",
"637","8","94","10",
"638","9","94","45",
"639","10","94","18","4"
"640","11","94","46",
"641","12","94","53",
"642","13","94","48",
"643","14","94","14",
"644","15","94","49",
"645","16","94","16",
"646","17","94","17","1"
"647","0","95","54",
"648","1","95","2",
"649","2","95","52",
"650","3","95","4",
"651","4","95","50",
"652","5","95","56","5"
"653","6","95","55",
"654","7","95","44",
"655","8","95","10",
"656","9","95","45",
"657","10","95","18",
"658","11","95","57",
"659","12","95","53","5"
"660","13","95","58",
"661","14","95","14",
"662","15","95","49",
"663","16","95","16",
"664","17","95","17","1"
"665","0","96","54",
"666","1","96","2",
"667","2","96","52",
"668","3","96","4",
"669","4","96","50",
"670","5","96","55",
"671","6","96","44",
"672","7","96","10",
"673","8","96","45",
"674","9","96","57",
"675","10","96","18",
"676","11","96","53",
"677","12","96","58",
"678","13","96","56",
"679","14","96","14",
"680","15","96","49",
"681","16","96","16",
"682","17","96","17","1"
"683","0","97","54",
"684","1","97","2",
"685","2","97","52",
"686","3","97","4",
"687","4","97","50",
"688","5","97","55",
"689","6","97","44",
"690","7","97","10",
"691","8","97","45",
"692","9","97","57",
"693","10","97","18",
"694","11","97","53",
"695","12","97","58",
"696","13","97","56",
"697","14","97","14",
"698","15","97","49",
"699","16","97","16",
"700","17","97","17","1"
"701","0","98","54",
"702","1","98","2",
"703","2","98","52",
"704","3","98","4",
"705","4","98","50",
