"TOTAL_DESC_ID","PROGRAM_ID","AMOUNT"
"9","191","4352.0"
"1","192","966542.0"
"2","192","944773.0"
"8","192","902032.0"
"9","192","919796.0"
"10","192","934697.0"
"1","193","7676.0"
"2","193","11636.0"
"8","193","9651.0"
"9","193","9754.0"
"10","193","9859.0"
"1","194","47974.0"
"2","194","49124.0"
"8","194","49329.0"
"9","194","50105.0"
"10","194","50845.0"
"1","195","5981.0"
"2","195","6299.0"
"8","195","6286.0"
"9","195","6343.0"
"10","195","6368.0"
"1","196","205524.0"
"2","196","228774.0"
"3","196","210839.0"
"4","196","199818.0"
"5","196","201939.0"
"1","197","1063260.0"
"2","197","1112649.0"
"3","197","1102585.0"
"4","197","1086511.0"
"5","197","1009686.0"
"1","198","212407.0"
"2","198","185351.0"
"3","198","167902.0"
"4","198","169340.0"
"5","198","151245.0"
"1","199","167996.0"
"2","199","170580.0"
"3","199","171457.0"
"4","199","170893.0"
"5","199","170900.0"
"1","200","6254.0"
"2","200","6557.0"
"3","200","6667.0"
"4","200","6800.0"
"5","200","6929.0"
"1","201","73369.0"
"2","201","80527.0"
"3","201","76951.0"
"4","201","75791.0"
"5","201","77232.0"
"1","202","60189.0"
"2","202","64011.0"
"3","202","56557.0"
"4","202","57209.0"
"5","202","54256.0"
"1","203","323842.0"
"2","203","290333.0"
"3","203","265278.0"
"4","203","246517.0"
"5","203","236734.0"
"1","204","456728.0"
"2","204","409383.0"
"3","204","393741.0"
"4","204","366088.0"
"5","204","360233.0"
"1","205","160716.0"
"2","205","144979.0"
"3","205","132197.0"
"4","205","132661.0"
"5","205","132536.0"
"1","206","82268.0"
"2","206","82300.0"
"3","206","76881.0"
"4","206","76278.0"
"5","206","76099.0"
"1","207","59720.0"
"2","207","58571.0"
"3","207","55523.0"
"4","207","51918.0"
"5","207","51459.0"
"1","208","1055930.0"
"2","208","1049914.0"
"3","208","1049826.0"
"4","208","1017888.0"
"5","208","1004263.0"
"1","209","242090.0"
"2","209","265938.0"
"3","209","268804.0"
"4","209","250868.0"
"5","209","256867.0"
"1","210","1296239.0"
"2","210","1157931.0"
"3","210","1097733.0"
"4","210","1029466.0"
"5","210","1019290.0"
"1","211","1481985.0"
"2","211","759853.0"
"3","211","378359.0"
"4","211","386174.0"
"5","211","394746.0"
"1","212","100909.0"
"2","212","91058.0"
"3","212","47332.0"
"4","212","44270.0"
"5","212","44884.0"
"1","213","21721.0"
"2","213","84572.0"
"3","213","64536.0"
"4","213","49478.0"
"5","213","49417.0"
"1","214","81393.0"
"2","214","158090.0"
"3","214","143946.0"
"4","214","137916.0"
"5","214","139033.0"
"1","215","720.0"
"2","215","1620.0"
"3","215","1616.0"
"4","215","1620.0"
"5","215","1621.0"
"1","216","1421.0"
"2","216","3123.0"
"3","216","3115.0"
"4","216","3124.0"
"5","216","3125.0"
"1","217","343.0"
"2","217","375.0"
"1","218","3792281.0"
"12","218","3899486.0"
"3","218","3478359.0"
"4","218","3087686.0"
"5","218","3136391.0"
"1","219","621906.0"
"12","219","668179.0"
"3","219","552369.0"
"4","219","521631.0"
"5","219","537401.0"
"1","220","2021084.0"
"12","220","2038879.0"
"3","220","2073814.0"
"4","220","2113059.0"
"5","220","2153682.0"
"1","234","75566.0"
"2","234","76915.0"
"3","234","73503.0"
"4","234","72628.0"
"5","234","75229.0"
"1","235","502463.0"
"2","235","372884.0"
"3","235","364146.0"
"4","235","376946.0"
"5","235","382539.0"
"1","236","1158437.0"
"2","236","1217358.0"
"3","236","1232218.0"
"4","236","1250282.0"
"5","236","1264265.0"
"1","237","208354.0"
"2","237","202957.0"
"3","237","203424.0"
"4","237","199930.0"
"5","237","200670.0"
"1","238","23609.0"
"2","238","17578.0"
"3","238","13133.0"
"4","238","2639.0"
"5","238","2644.0"
"1","239","572811.0"
"2","239","504922.0"
"3","239","486877.0"
"4","239","474147.0"
"5","239","474983.0"
"1","240","278203.0"
"2","240","256321.0"
"3","240","278368.0"
"4","240","284018.0"
"5","240","286416.0"
"1","241","278203.0"
"2","241","256321.0"
"3","241","278368.0"
"4","241","284018.0"
"5","241","286416.0"
"1","242","448874.0"
"2","242","680148.0"
"3","242","826887.0"
"4","242","854644.0"
"5","242","580870.0"
"1","243","572811.0"
"2","243","504922.0"
"3","243","486877.0"
"4","243","474147.0"
"5","243","474983.0"
"1","245","448874.0"
"2","245","680148.0"
"3","245","826887.0"
"4","245","854644.0"
"5","245","580870.0"
"1","246","209337.0"
"2","246","236211.0"
"3","246","243616.0"
"4","246","235678.0"
"5","246","236900.0"
"1","247","194041.0"
"2","247","196193.0"
"3","247","201192.0"
"4","247","203368.0"
"5","247","207704.0"
"1","248","2590.0"
"2","248","2271.0"
"3","248","2329.0"
"4","248","2355.0"
"5","248","2405.0"
"1","249","13102.0"
"2","249","12882.0"
"3","249","13211.0"
"4","249","13353.0"
"5","249","13638.0"
"1","250","10939.0"
"2","250","9535.0"
"3","250","10370.0"
"4","250","10907.0"
"5","250","4433.0"
"1","251","32373.0"
"2","251","34843.0"
"3","251","37825.0"
"4","251","37825.0"
"5","251","37825.0"
"1","252","34154.0"
"2","252","33984.0"
"3","252","34115.0"
"4","252","34875.0"
"5","252","35656.0"
"1","253","4364.0"
"2","253","3663.0"
"3","253","3670.0"
"4","253","3685.0"
"5","253","3659.0"
"1","254","256511.0"
"2","254","341677.0"
"3","254","382974.0"
"4","254","395904.0"
"5","254","408780.0"
"1","255","256511.0"
"2","255","341677.0"
"3","255","382974.0"
"4","255","395904.0"
"5","255","408780.0"
"1","256","82615.0"
"2","256","82824.0"
"3","256","84386.0"
"4","256","85656.0"
"5","256","86294.0"
"1","257","122834.0"
