"ID","PORTFOLIO_ID","DEPT_ID","AGENCY_ID","BUDGET_YEAR","FILE"
"44",,"50","44","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Education and Training/TEQSA PBS 2018-19 - cleaned.xlsx"
"45",,"55","45","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Environment and Energy/2018-19 PBS - ARENA - cleaned.xlsx"
"46",,"55","46","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Environment and Energy/2018-19 PBS - BOM - cleaned.xlsx"
"47",,"55","47","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Environment and Energy/2018-19 PBS - CCA - cleaned.xlsx"
"48",,"55","48","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Environment and Energy/2018-19 PBS - CEFC - cleaned.xlsx"
"49",,"55","49","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Environment and Energy/2018-19 PBS - CER - cleaned.xlsx"
"50",,"55","50","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Environment and Energy/2018-19 PBS - DNP - cleaned.xlsx"
"51",,"55","51","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Environment and Energy/2018-19 PBS - DOTEE - cleaned.xlsx"
"52",,"55","52","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Environment and Energy/2018-19 PBS - GBRMPA - cleaned.xlsx"
"53",,"55","53","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Environment and Energy/2018-19 PBS - SHFT - cleaned.xlsx"
"54",,"44","54","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Finance/2018-19 PBS - AEC - cleaned.xlsx"
"55",,"44","55","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Finance/2018-19 PBS - CSC - cleaned.xlsx"
"56",,"44","56","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Finance/2018-19 PBS - FFMA - cleaned.xlsx"
"57",,"44","57","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Finance/2018-19 PBS - FINANCE - cleaned.xlsx"
"58",,"44","58","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Finance/2018-19 PBS - IPEA - cleaned.xlsx"
"59",,"60","59","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Foreign Affairs/2018-19 PBS - ACIAR - cleaned.xlsx"
"60",,"60","60","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Foreign Affairs/2018-19 PBS - AusTrade - cleaned.xlsx"
"61",,"60","61","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Foreign Affairs/2018-19 PBS - DFAT - cleaned.xlsx"
"62",,"60","62","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Foreign Affairs/2018-19 PBS - Other Agency - cleaned.xlsx"
"63",,"60","63","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Foreign Affairs/2018-19 PBS - Tourism Australia - cleaned.xlsx"
"64",,"45","64","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/AACQA 2018-19 PBS - cleaned.xls"
"65",,"45","65","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/ACSQHC 2018-19 PBS - cleaned.xlsx"
"66",,"45","66","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/ADHA 2018-19 PBS - cleaned.xls"
"67",,"45","67","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/AIHW 2018-19 PBS - cleaned.xls"
"68",,"45","68","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/ARPANSA 2018-19 PBS - cleaned.xls"
"69",,"45","69","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/ASADA 2018-19 PBS - cleaned.xlsx"
"70",,"45","70","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/ASC 2018-19 PBS - cleaned.xlsx"
