"ID","NAME"
"329","Royal Australian Air Force Veterans' Residences Act 1953"
"330","Services Trust Funds Act 1947"
"331","War Service Estates Act 1942"
"332","Weapons of Mass Destruction (Prevention of Proliferation) Act 1995"
"333","Williamstown Dockyard Employees Act 1987"
"334","Anglo-Australian Telescope Agreement Act 1970"
"335","Australian Institute of Marine Science Act 1972"
"336","Australian National Training Authority Act 1992"
"337","Australian National University Act 1991"
"338","Australian Nuclear Science and Technology Organisation Act 1987"
"339","Australian Nuclear Science and Technology Organisation (Transitional Provisions) Act 1987"
"340","Australian Research Council Act 2001"
"341","Australian Research Council (Consequential and Transitional Provisions) Act 2001"
"342","Education Research Act 1970"
"343","Education Services for Overseas Students Act 2000"
"344","Education Services for Overseas Students (Assurance Fund Contributions) Act 2000"
"345","Education Services for Overseas Students (Consequential and Transitional) Act 2000"
"346","Education Services for Overseas Students (Registration Charges) Act 1997"
"347","Higher Education Funding Act 1988"
"348","Independent Schools (Loans Guarantee) Act 1969"
"349","Indigenous Education (Supplementary Assistance) Act 1989"
"350","Indigenous Education (Targeted Assistance) Act 2000"
"351","Mutual Recognition Act 1992, Part 3"
"352","Non-government Schools (Loans Guarantee) Act 1977"
"353","Science and Industry Endowment Act 1926"
"354","Science and Industry Research Act 1949"
"355","States Grants (Primary and Secondary Education Assistance) Acts"
"356","Student Assistance Act 1973"
"357","Training Guarantee (Suspension) Act 1994"
"358","Trans-Tasman Mutual Recognition Act 1997, in relation to occupational provisions"
"359","Vocational Education and Training Funding Act 1992"
"360","Air Passenger Ticket Levy (Collection) Act 2001 except to the extent administered by the Minister for Transport and Regional Services"
"361","Builders Labourers' Federation (Cancellation of Registration) Act 1986"
"362","Builders Labourers' Federation (Cancellation of Registration - Consequential Provisions) Act 1986"
"363","Building Industry Act 1985"
"364","Coal Industry Act 1946, Part V"
"365","Coal Mining Industry (Long Service Leave Funding) Act 1992"
"366","Coal Mining Industry (Long Service Leave) Payroll Levy Collection Act 1992"
"367","Coal Mining Industry (Long Service Leave) Payroll Levy Act 1992"
"368","Construction Industry Reform and Development Act 1992"
"369","Defence Act 1903, sections 58F to 58Q, 61, 61A, 61B, 61C, 118A and 118B"
"370","Employment Services Act 1994"
"371","Equal Employment Opportunity (Commonwealth Authorities) Act 1987"
"372","Equal Employment Opportunity for Women in the Workplace Act 1999"
"373","International Labour Organisation (Compliance with Conventions) Act 1992"
"374","Judicial and Statutory Officers (Remuneration and Allowances) Act 1984"
"375","Long Service Leave (Commonwealth Employees) Act 1976"
"376","Maternity Leave (Commonwealth Employees) Act 1973"
"377","National Labour Consultative Council Act 1977"
"378","National Occupational Health and Safety Commission Act 1985"
"379","Occupational Health and Safety (Commonwealth Employment) Act 1991"
"380","Occupational Health and Safety (Maritime Industry) Act 1993"
"381","Occupational Health and Safety (Maritime Industry) Consequential Amendments Act 1993"
"382","Remuneration and Allowances Act 1990"
"383","Remuneration and Allowances Alteration Act 1986"
"384","Remuneration Tribunal Act 1973"
"385","Safety, Rehabilitation and Compensation Act 1988"
"386","Seafarers Rehabilitation and Compensation Act 1992"
"387","Seafarers Rehabilitation and Compensation Levy Act 1992"
"388","Seafarers Rehabilitation and Compensation Levy Collection Act 1992"
"389","Seafarers Rehabilitation and Compensation (Transitional Provisions and Consequential Amendments) Act 1992"
"390","States Grants (Coal Mining Industry Long Service Leave) Act 1949"
"391","Tradesmen's Rights Regulation Act 1946"
"392","United States Naval Communication Station (Civilian Employees) Acts"
"393","Workplace Relations Act 1996, except to the extent administered by the Attorney-General"
"394","Workplace Relations and Other Legislation Amendment Act 1996"
"395","Aboriginal and Torres Strait Islander Heritage Protection Act 1984"
"396","Antarctic Marine Living Resources Conservation Act 1981"
"397","Antarctic Treaty Act 1960"
"398","Antarctic Treaty (Environment Protection) Act 1980"
"399","Australian Antarctic Territory Acceptance Act 1933"
"400","Australian Antarctic Territory Act 1954"
"401","Australian Heritage Commission Act 1975"
"402","Captains Flat (Abatement of Pollution) Agreement Act 1975"
"403","Environment Protection and Biodiversity Conservation Act 1999"
"404","Environment Protection (Alligator Rivers Region) Act 1978"
"405","Environment Protection (Sea Dumping) Act 1981"
"406","Fuel Quality Standards Act 2000"
"407","Great Barrier Reef Marine Park Act 1975"
"408","Great Barrier Reef Marine Park (Environmental Management Charge - Excise) Act 1993"
"409","Great Barrier Reef Marine Park (Environmental Management Charge - General) Act 1993"
"410","Hazardous Waste (Regulation of Exports and Imports) Act 1989"
"411","Heard Island and McDonald Islands Act 1953"
"412","Hindmarsh Island Bridge Act 1997"
"413","Historic Shipwrecks Act 1976"
"414","Koongarra Project Area Act 1981"
"415","Lake Eyre Basin Intergovernmental Agreement Act 2001"
"416","Meteorology Act 1955"
"417","National Environment Protection Council Act 1994"
"418","National Environment Protection Measures (Implementation) Act 1998"
"419","Natural Heritage Trust of Australia Act 1997"
"420","Ozone Protection Act 1989"
"421","Ozone Protection (Licence Fees - Imports) Act 1995"
"422","Ozone Protection (Licence Fees - Manufacture) Act 1995"
"423","Product Stewardship (Oil) Act 2000"
"424","Protection of Movable Cultural Heritage Act 1986"
"425","Removal of Prisoners (Territories) Act 1923, insofar as it relates to the Territory of Heard Island and McDonald Islands and the Australian Antarctic Territory"
"426","Renewable Energy (Electricity) Act 2000"
"427","Renewable Energy (Electricity) (Charge) Act 2000"
"428","Sea Installations Act 1987"
"429","Sea Installations Levy Act 1987"
"430","Sydney Harbour Federation Trust Act 2001"
"431","Wet Tropics of Queensland World Heritage Area Conservation Act 1994"
"432","A New Tax System (Family Assistance) Act 1999"
"433","A New Tax System (Family Assistance) (Administration) Act 1999"
"434","A New Tax System (Family Assistance and Related Measures) Act 2000"
"435","A New Tax System (Bonuses for Older Australians) Act 1999, Parts 1 and 5 insofar as they relate to Family and Community Services customers and Part 2"
"436","Child Care Act 1972"
"437","Child Support (Assessment) Act 1989"
"438","Child Support (Registration and Collection) Act 1988"
"439","Commonwealth and State Housing Agreements Acts"
"440","Commonwealth Services Delivery Agency Act 1997"
"441","Commonwealth Services Delivery Agency (Consequential Amendments) Act 1997"
"442","Data-matching Program (Assistance and Tax) Act 1990"
"443","Disability Services Act 1986"
"444","Family Law Act 1975, Part XIVA"
"445","First Home Owners Act 1983"
"446","Home Deposit Assistance Act 1982"
"447","Home Savings Grants Acts"
"448","Homeless Persons Assistance Act 1974"
"449","Housing Agreements Acts"
"450","Housing Assistance Acts"
"451","Marriage Act 1961, Part IA"
"452","Social Security Act 1991"
"453","Social Security (Administration) Act 1999"
"454","Social Security (International Agreements) Act 1999"
"455","Social Security (Rewrite) Transition Act 1991"
"456","Social Welfare Commission (Repeal) Act 1976"
"457","States Grants (Housing) Act 1971"
"458","Supported Accommodation Assistance Acts"
"459","Aerospace Technologies of Australia Sale Act 1994"
"460","AIDC Sale Act 1997"
"461","Airports (Transitional) Act 1996"
"462","Appropriation Acts"
"463","Audit (Transitional and Miscellaneous) Amendment Act 1997"
"464","Australian Capital Territory (Planning and Land Management) Act 1988, section 27 insofar as it relates to the declaration of land in the Australian Capital Territory to be National Land where the land is required for Commonwealth purposes other than for the special purposes of Canberra as the National Capital"
"465","Australian Industry Development Corporation Act 1970"
"466","CFM Sale Act 1996"
"467","Commonwealth Authorities and Companies Act 1997"
"468","Commonwealth Electoral Act 1918"
"469","Commonwealth Electoral Legislation (Provision of Information) Act 2000"
"470","Commonwealth Funds Management Limited Act 1990"
"471","Commonwealth Grants Commission Act 1973"
"472","Commonwealth Vehicles (Registration and Exemption from Taxation) Act 1997"
"473","CSL Sale Act 1993"
"474","Financial Management and Accountability Act 1997"
"475","Lands Acquisition Act 1989"
"476","Lands Acquisition (Defence) Act 1968"
"477","Lands Acquisition (Northern Territory Pastoral Leases) Act 1981"
"478","Lands Acquisition (Repeal and Consequential Provisions) Act 1989"
"479","Loan Acts, except insofar as they give authority to borrow"
"480","Loan (Temporary Revenue Deficits) Act 1953, section 3"
"481","Loan (War Service Land Settlement) Acts"
"482","Members of Parliament (Staff) Act 1984"
"483","Ministers of State Act 1952"
"484","Northern Territory (Commonwealth Lands) Act 1980"
"485","Northern Territory (Self-Government) Act 1978, sections 69 and 70"
"486","Papua New Guinea (Staffing Assistance) Act 1973, insofar as it relates to superannuation and retirement benefits"
