"ACT_NO","YEAR","ACT_NAME_ID"
"60","1972","2253"
"21","1977","2254"
"90","1983","2255"
"6","1995","2256"
"109","2009","2257"
"113","1970","4185"
"147","1976","4186"
"25","1966","849"
"54","1974","4187"
"146","1976","4188"
"164","1978","4189"
"151","1982","4190"
"178","1987","4191"
"36","1992","4192"
"134","2015","2032"
"44","2017","7870"
"45","2017","7871"
"43","2017","7872"
"24","2018","7873"
"143","2003","7874"
"54","2006","7875"
"13","1999","2262"
"34","1946","4201"
"34","1946","4201"
"27","1952","4202"
"31","1953","626"
"1","1958","4193"
"131","1973","4194"
"182","1978","4200"
"119","1980","7876"
"31","1978","4195"
"44","1979","4196"
"9","1980","4197"
"5","1987","4198"
"152","1997","463"
"4","1901","4203"
"4","1901","4203"
"8","1906","2264"
"8","1906","2264"
"4","1909","4204"
"4","1909","4204"
"6","1912","4205"
"6","1912","4205"
"32","1917","4206"
"32","1917","4206"
"23","1920","4207"
"23","1920","4207"
"34","1924","4208"
"34","1924","4208"
"18","1926","4209"
"18","1926","4209"
"60","1948","4210"
"60","1948","4210"
"79","1952","4211"
"29","1954","4212"
"8","1959","4213"
"77","1960","4214"
"89","1961","4215"
"74","1962","4216"
"126","1965","4217"
"20","1969","4218"
"8","1979","2265"
"40","1984","4219"
"73","1988","4220"
"82","1989","4221"
"151","1997","7877"
"8","2009","7878"
"190","2011","7879"
"53","2007","7880"
"123","2009","7881"
"94","2005","7882"
"93","2005","7883"
"106","2008","7884"
"12","1991","7885"
"145","1991","7886"
"143","1985","115"
"142","1985","114"
"72","2013","1811"
"11","1975","262"
"71","2013","1810"
"113","1976","4224"
"114","1980","4225"
"24","1991","4226"
"18","1976","7887"
"201","1997","4228"
"200","1999","4227"
"81","2001","2270"
"95","2006","7888"
"78","2013","1847"
"79","2013","1846"
"6","1988","724"
"79","1991","7227"
"45","1996","12"
"83","1997","4229"
"122","2002","2272"
"8","1933","399"
"8","1933","399"
"42","1954","400"
"35","1957","4230"
"20","1963","4231"
"194","1973","4232"
"145","1981","4237"
"199","1976","4233"
"15","1978","4234"
"16","1981","4235"
"16","1986","4236"
"59","2018","2273"
"12","2010","1487"
"11","2010","1486"
"49","1980","4238"
"133","1982","4239"
"35","1984","4240"
"40","2015","1913"
"115","2017","2274"
"33","1942","4241"
"33","1942","4241"
"39","1946","4242"
"39","1946","4242"
"64","1948","4243"
