"ID","ACT_NO","YEAR","DATE","ACT_NAME_ID"
"C2004A00600","8","2000","2000-03-07","2419"
"C2004A01190","105","2003","2003-10-21","2420"
"C2005A00086","86","2005","2005-07-06","2421"
"C2009A00019","19","2009","2009-03-26","2422"
"C2014A00027","27","2014","2014-04-09","2423"
"C2016C01045","2","1959","2016-11-04","748"
"C2008A00079","79","2008","2008-07-12","2424"
"C2004A04932","82","1995","1995-06-30","749"
"C2004C01236","1","1998",,"2425"
"C2004A01168","83","2003","2003-09-06","2426"
"C2006A00102","102","2006","2006-09-16","2427"
"C2015C00419","17","2011","2015-08-17","1605"
"C2015A00113","113","2015","2015-08-17","2428"
"C2018A00130","130","2018","2018-10-25","2429"
"C2015A00132","132","2015","2015-10-13","2430"
"C2016A00101","101","2016","2016-12-07","2077"
"C2017C00267","7","1995","2017-08-28","125"
"C2004A01296","61","2004","2004-05-26","2431"
"C2007A00027","27","2007","2007-03-15","2432"
"C2004A00703","111","2000","2000-09-04","2433"
"C2004A00778","13","2001","2001-03-22","2434"
"C2004A01375","140","2004","2004-12-14","2435"
"C2008A00069","69","2008","2008-07-01","2436"
"C2014A00099","99","2014","2014-09-11","2437"
"C2012A00103","103","2012","2012-07-06","2438"
"C2007A00179","179","2007","2007-09-28","2439"
"C2012A00204","204","2012","2012-12-13","2440"
"C2012A00198","198","2012","2012-12-12","2441"
"C2012A00199","199","2012","2012-12-12","2442"
"C2014C00475","132","2011","2014-07-28","2443"
"C2011A00155","155","2011","2011-12-04","2444"
"C2012A00085","85","2012","2012-06-28","2445"
"C2011A00156","156","2011","2011-12-04","2446"
"C2012A00081","81","2012","2012-06-28","2447"
"C2017C00265","104","2012","2017-08-25","1745"
"C2011A00157","157","2011","2011-12-04","2448"
"C2013C00026","141","2011","2013-01-09","2449"
"C2015C00307","150","2011","2015-07-08","2450"
"C2013C00334","84","2012","2013-07-05","2451"
"C2016C00166","83","2014","2016-03-07","1893"
"C2016C00318","163","2011","2016-04-19","1621"
"C2015C00295","159","2011","2015-07-02","2452"
"C2012A00203","203","2012","2012-12-13","2453"
